construction_type	year	place_full_name	lat	long	norm_lat	norm_long	dialect	distance_from_antwerp	context	gender	mentioned_users_count	user_id	username
bent	2016	Sint-Katelijne-Waver, België	51.0347105	51.0347105	51.06232435	4.511427814014689	Brabants	34.44	main	female	0	user_id_1734	username_1734
bent	2016	Edegem, België	51.1443402	51.1443402	51.1548066	4.4458312	Brabants	29.86	other	female	0	user_id_1735	username_1735
bent	2016	Antwerp, Belgium	51.1434643	51.1434643	51.2211097	4.3997081	Brabants	28.85	main	female	1	user_id_570	username_570
bent	2016	Lier, België	51.0729422	51.0729422	51.131069	4.5696516	Brabants	25.82	main	female	0	user_id_1730	username_1730
bent	2016	Hoogstraten, België	51.3756463	51.3756463	51.39573015	4.744087183464012	Brabants	8.64	main	female	0	user_id_1448	username_1448
bent	2016	Duffel, België	51.0725369	51.0725369	51.0957176	4.5061988	Brabants	31.62	inversion	female	0	user_id_1459	username_1459
bent	2016	Merksplas, België	51.3365239	51.3365239	51.3579924	4.8627355	Brabants	7.0	inversion	female	0	user_id_1736	username_1736
bent	2016	Merksplas, België	51.3365239	51.3365239	51.3579924	4.8627355	Brabants	7.0	other	female	0	user_id_1736	username_1736
bent	2016	Brecht, België	51.2757617	51.2757617	51.3484804	4.6398673	Brabants	10.26	main		1	user_id_1722	username_1722
bent	2016	Tremelo, België	50.9791487	50.9791487	50.9919047	4.7040582	Brabants	37.07	main	male	0	user_id_1569	username_1569
bent	2016	Stabroek, België	51.2971672	51.2971672	51.335154200000005	4.370409494988416	Brabants	28.64	inversion	female	1	user_id_966	username_966
bent	2016	Antwerp, Belgium	51.1434643	51.1434643	51.2211097	4.3997081	Brabants	28.85	main	female	0	user_id_246	username_246
bent	2016	Beerse, België	51.2730411	51.2730411	51.3135296	4.83753463479851	Brabants	4.06	main	female	0	user_id_1696	username_1696
bent	2016	Louvain, Belgium	50.824111	50.824111	50.879202	4.7011675	Brabants	49.53	inversion	female	0	user_id_1737	username_1737
bent	2016	Antwerp, Belgium	51.1434643	51.1434643	51.2211097	4.3997081	Brabants	28.85	other	female	0	user_id_1738	username_1738
